2026-06-16 15:36:32, MOVE, v:1, k:ed@formatada, mode:DOWN
2026-06-16 15:36:33, MOVE, v:1, k:ed@formatada, mode:PICK
2026-06-16 15:36:32, MOVE, v:1, k:ed@formatada, mode:EDIT
2026-06-16 15:36:32, MOVE, v:1, k:ed@formatada, mode:EDIT
2026-06-16 15:36:32, MOVE, v:1, k:ed@formatada, mode:EDIT
2026-06-16 15:36:32, MOVE, v:1, k:ed@formatada, mode:EDIT
2026-06-16 15:44:08, MOVE, v:1, k:ed@formatada, mode:EDIT
2026-06-16 15:54:31, MOVE, v:1, k:ed@formatada, mode:EDIT
2026-06-16 16:01:37, EXEC, v:1, k:ed@formatada, mode:FULL, size:93, fail:COMP
2026-06-16 16:01:40, MOVE, v:1, k:ed@formatada, mode:BACK
2026-06-16 16:01:50, MOVE, v:1, k:ed@formatada, mode:PICK
2026-06-16 16:13:18, MOVE, v:1, k:ed@formatada, mode:BACK
2026-06-16 16:13:32, MOVE, v:1, k:ed@formatada, mode:PICK
